口径,分组,样本数,有效传递系数样本数,平均理论调幅_CNY_per_ton,平均实际调幅_CNY_per_ton,平均传递系数,中位数传递系数,同向调价比例,非对称指数_上涨均值减下跌均值,Welch_t统计量_正态近似,Welch_df,p值_正态近似
原始口径：全部可计算窗口,上涨样本,106,106,152.53356941102172,178.53773584905662,0.33683560731538403,1.2367031352570188,0.9622641509433962,-1.0183676704585882,-0.7320984973304632,110.6643938265589,0.4641084509312692
原始口径：全部可计算窗口,下跌样本,69,69,-200.0787872463681,-230.2173913043478,1.3552032777739722,1.2336673395204085,0.9565217391304348,-1.0183676704585882,-0.7320984973304632,110.6643938265589,0.4641084509312692
主口径：剔除|理论调幅|<50元窗口,上涨样本,90,90,175.24324107995113,195.0,1.2093751567402473,1.1473360248253215,0.9777777777777777,0.0580811279690987,0.5206892830798125,104.61874479162348,0.6025832412345018
主口径：剔除|理论调幅|<50元窗口,下跌样本,60,60,-225.81629591309832,-251.16666666666666,1.1512940287711486,1.1322875023587913,0.9666666666666667,0.0580811279690987,0.5206892830798125,104.61874479162348,0.6025832412345018
