调整日期,上次调整日期,周期天数,汽油,汽油涨跌,国内调价幅度_CNY_per_ton,推断调价窗口数,标准窗口天数,推断等效天数,相对标准窗口偏差天数,推断类型
2022-10-25,2022-09-22,33,9620,↑185,185.0,2,14,28,5,多窗口但偏离较大
2022-09-22,2022-09-07,15,9435,↓290,-290.0,1,14,14,1,标准单窗口
2022-09-07,2022-08-24,14,9725,↑190,190.0,1,14,14,0,标准单窗口
2022-08-24,2022-08-10,14,9535,↓205,-205.0,1,14,14,0,标准单窗口
2022-08-10,2022-07-27,14,9740,↓130,-130.0,1,14,14,0,标准单窗口
2022-07-27,2022-07-13,14,9870,↓300,-300.0,1,14,14,0,标准单窗口
2022-07-13,2022-06-29,14,1.017万,↓360,-360.0,1,14,14,0,标准单窗口
2022-06-29,2022-06-15,14,1.053万,↓320,-320.0,1,14,14,0,标准单窗口
2022-06-15,2022-05-31,15,1.085万,↑390,390.0,1,14,14,1,标准单窗口
2022-05-31,2022-05-17,14,1.046万,↑400,400.0,1,14,14,0,标准单窗口
2022-05-17,2022-04-29,18,1.006万,↑285,285.0,1,14,14,4,单窗口但偏离较大
2022-04-29,2022-04-16,13,9775,↑205,205.0,1,14,14,-1,标准单窗口
2022-04-16,2022-04-01,15,9570,↓545,-545.0,1,14,14,1,标准单窗口
2022-04-01,2022-03-18,14,1.012万,↑110,110.0,1,14,14,0,标准单窗口
2022-03-18,2022-03-04,14,1万,↑750,750.0,1,14,14,0,标准单窗口
2022-03-04,2022-02-18,14,9255,↑260,260.0,1,14,14,0,标准单窗口
2022-02-18,2022-01-30,19,8995,↑210,210.0,1,14,14,5,单窗口但偏离较大
2022-01-30,2022-01-18,12,8785,↑310,310.0,1,14,14,-2,标准单窗口
2022-01-18,2022-01-01,17,8475,↑345,345.0,1,14,14,3,标准单窗口
2022-01-01,2021-12-18,14,8130,↑140,140.0,1,14,14,0,标准单窗口
2021-12-18,2021-12-04,14,7990,↓130,-130.0,1,14,14,0,标准单窗口
2021-12-04,2021-11-20,14,8120,↓430,-430.0,1,14,14,0,标准单窗口
2021-11-20,2021-10-23,28,8550,↓95,-95.0,2,14,28,0,疑似跨多窗口
2021-10-23,2021-10-10,13,8645,↑300,300.0,1,14,14,-1,标准单窗口
2021-10-10,2021-09-19,21,8345,↑345,345.0,2,14,28,-7,多窗口但偏离较大
2021-09-19,2021-09-07,12,8000,↑90,90.0,1,14,14,-2,标准单窗口
2021-09-07,2021-08-24,14,7910,↑140,140.0,1,14,14,0,标准单窗口
2021-08-24,2021-07-27,28,7770,↓250,-250.0,2,14,28,0,疑似跨多窗口
2021-07-27,2021-07-13,14,8020,↓100,-100.0,1,14,14,0,标准单窗口
2021-07-13,2021-06-29,14,8120,↑70,70.0,1,14,14,0,标准单窗口
2021-06-29,2021-06-12,17,8050,↑225,225.0,1,14,14,3,标准单窗口
2021-06-12,2021-05-15,28,7825,↑175,175.0,2,14,28,0,疑似跨多窗口
2021-05-15,2021-04-29,16,7650,↑100,100.0,1,14,14,2,标准单窗口
2021-04-29,2021-04-01,28,7550,↑100,100.0,2,14,28,0,疑似跨多窗口
2021-04-01,2021-03-18,14,7450,↓225,-225.0,1,14,14,0,标准单窗口
2021-03-18,2021-03-04,14,7675,↑235,235.0,1,14,14,0,标准单窗口
2021-03-04,2021-02-19,13,7440,↑260,260.0,1,14,14,-1,标准单窗口
2021-02-19,2021-01-30,20,7180,↑275,275.0,1,14,14,6,单窗口但偏离较大
2021-01-30,2021-01-16,14,6905,↑75,75.0,1,14,14,0,标准单窗口
2021-01-16,2021-01-01,15,6830,↑185,185.0,1,14,14,1,标准单窗口
2021-01-01,2020-12-18,14,6645,↑90,90.0,1,14,14,0,标准单窗口
2020-12-18,2020-12-04,14,6555,↑155,155.0,1,14,14,0,标准单窗口
2020-12-04,2020-11-20,14,6400,↑250,250.0,1,14,14,0,标准单窗口
2020-11-20,2020-11-06,14,6150,↑150,150.0,1,14,14,0,标准单窗口
2020-11-06,2020-10-23,14,6000,↓160,-160.0,1,14,14,0,标准单窗口
2020-10-23,2020-09-19,34,6160,↑80,80.0,2,14,28,6,多窗口但偏离较大
2020-09-19,2020-08-22,28,6080,↓315,-315.0,2,14,28,0,疑似跨多窗口
2020-08-22,2020-07-11,42,6395,↑85,85.0,3,14,42,0,疑似跨多窗口
2020-07-11,2020-06-29,12,6310,↑100,100.0,1,14,14,-2,标准单窗口
2020-06-29,2020-03-18,103,6210,↑120,120.0,7,14,98,5,多窗口但偏离较大
2020-03-18,2020-02-19,28,6090,↓1015,-1015.0,2,14,28,0,疑似跨多窗口
2020-02-19,2020-02-05,14,7105,↓415,-415.0,1,14,14,0,标准单窗口
2020-02-05,2019-12-31,36,7520,↓420,-420.0,3,14,42,-6,多窗口但偏离较大
2019-12-31,2019-12-03,28,7940,↑235,235.0,2,14,28,0,疑似跨多窗口
2019-12-03,2019-11-19,14,7705,↑55,55.0,1,14,14,0,标准单窗口
2019-11-19,2019-11-05,14,7650,↑70,70.0,1,14,14,0,标准单窗口
2019-11-05,2019-10-22,14,7580,↑105,105.0,1,14,14,0,标准单窗口
2019-10-22,2019-09-19,33,7475,↓150,-150.0,2,14,28,5,多窗口但偏离较大
2019-09-19,2019-09-04,15,7625,↑125,125.0,1,14,14,1,标准单窗口
2019-09-04,2019-08-21,14,7500,↑115,115.0,1,14,14,0,标准单窗口
2019-08-21,2019-08-07,14,7385,↓210,-210.0,1,14,14,0,标准单窗口
2019-08-07,2019-07-10,28,7595,↓80,-80.0,2,14,28,0,疑似跨多窗口
2019-07-10,2019-06-26,14,7675,↑150,150.0,1,14,14,0,标准单窗口
