油价口径,筛选规则,自变量,因变量,回归函数,样本数,国际价格变动均值_USD_per_bbl,国内调价幅度均值_USD_per_bbl,截距_intercept,斜率_slope,线性模型RMSE_USD_per_bbl,线性模型MAE_USD_per_bbl,线性模型R2
布伦特,"调整日期>=2016-01-01，当前/上一国际均价均在[40,80] USD/bbl，当前/上一窗口样本天数均在[8,12]",国际价格变动_USD_per_bbl,国内调价幅度_USD_per_bbl,国内调价幅度 = 0.084411 + 1.172151 * 国际价格变动,69,0.29603312106572877,0.4314066078005915,0.08441098851075252,1.1721513391496314,1.7728969381872461,1.3928849130280805,0.8134866291510703
迪拜,"调整日期>=2016-01-01，当前/上一国际均价均在[40,80] USD/bbl，当前/上一窗口样本天数均在[8,12]",国际价格变动_USD_per_bbl,国内调价幅度_USD_per_bbl,国内调价幅度 = 0.227372 + 1.348780 * 国际价格变动,75,0.30873101010101095,0.6437823739132893,0.22737219764889327,1.348779884884756,2.124111758556757,1.655458583641264,0.7297641981775593
WTI,"调整日期>=2016-01-01，当前/上一国际均价均在[40,80] USD/bbl，当前/上一窗口样本天数均在[8,12]",国际价格变动_USD_per_bbl,国内调价幅度_USD_per_bbl,国内调价幅度 = 0.089290 + 1.183524 * 国际价格变动,78,0.26043466718466635,0.397520992487657,0.08929020505909319,1.1835244161638692,2.132310771316475,1.6370162712190326,0.7522782042930045
三油算术均价,"调整日期>=2016-01-01，当前/上一国际均价均在[40,80] USD/bbl，当前/上一窗口样本天数均在[8,12]",国际价格变动_USD_per_bbl,国内调价幅度_USD_per_bbl,国内调价幅度 = 0.084090 + 1.370768 * 国际价格变动,73,0.3628919099672523,0.5815304419176286,0.0840899089182105,1.3707677667554166,1.566482058754279,1.2038755262998617,0.8570913537935263
