油价口径,价格方向,筛选规则,自变量_国际原油列,因变量,回归函数,样本数,国际原油均值_USD_per_bbl,国内汽油均值_USD_per_bbl,截距_intercept,斜率_slope,线性模型RMSE_USD_per_bbl,线性模型MAE_USD_per_bbl,线性模型R2
三油算术均价,上升,"三油算术均价区间均价在[40,80] USD/bbl，且相邻样本国际原油均价上升",三油算术均价_USD_per_bbl,汽油价格_USD_per_bbl,国内汽油 = 76.400375 + 1.269896 * 三油算术均价,85,63.448346927454025,156.97315857634172,76.40037532118336,1.2698957050415227,4.825196381632166,3.842446471860404,0.8870964478356954
三油算术均价,下降,"三油算术均价区间均价在[40,80] USD/bbl，且相邻样本国际原油均价下降",三油算术均价_USD_per_bbl,汽油价格_USD_per_bbl,国内汽油 = 72.184035 + 1.284270 * 三油算术均价,63,62.77663553158104,152.80618260396113,72.1840348170375,1.2842699693003625,4.624576715612796,3.7316313826197964,0.8999632182169526
