油价口径,价格方向,筛选规则,自变量_国际原油列,因变量,回归函数,样本数,国际原油均值_USD_per_bbl,国内汽油均值_USD_per_bbl,截距_intercept,斜率_slope,线性模型RMSE_USD_per_bbl,线性模型MAE_USD_per_bbl,线性模型R2
布伦特,上升,"布伦特区间均价在[40,80] USD/bbl，且相邻样本国际原油均价上升",布伦特均价_USD_per_bbl,汽油价格_USD_per_bbl,国内汽油 = 75.725680 + 1.237125 * 布伦特,81,64.25227642437325,155.21379387511195,75.72567975015885,1.2371252591884874,4.526748065905789,3.700369684172364,0.8895527506724514
布伦特,下降,"布伦特区间均价在[40,80] USD/bbl，且相邻样本国际原油均价下降",布伦特均价_USD_per_bbl,汽油价格_USD_per_bbl,国内汽油 = 72.467894 + 1.253757 * 布伦特,60,64.1077490342716,152.8434151880213,72.46789423076274,1.2537567169031363,4.692574575869803,4.007608550816364,0.9008986648694227
迪拜,上升,"迪拜区间均价在[40,80] USD/bbl，且相邻样本国际原油均价上升",迪拜均价_USD_per_bbl,汽油价格_USD_per_bbl,国内汽油 = 80.750308 + 1.187247 * 迪拜,84,64.12344053377208,156.8806560470401,80.75030824507138,1.1872467722918412,5.146428970603602,4.131102762171892,0.8681912796601072
迪拜,下降,"迪拜区间均价在[40,80] USD/bbl，且相邻样本国际原油均价下降",迪拜均价_USD_per_bbl,汽油价格_USD_per_bbl,国内汽油 = 72.725661 + 1.268054 * 迪拜,62,62.05397063254303,151.4134416770097,72.72566051769067,1.2680539272059526,5.657357995410907,4.471316847489432,0.8506517717870478
WTI,上升,"WTI区间均价在[40,80] USD/bbl，且相邻样本国际原油均价上升",WTI均价_USD_per_bbl,汽油价格_USD_per_bbl,国内汽油 = 78.514012 + 1.275007 * WTI,88,62.042970445201405,157.6192580986835,78.51401232115141,1.2750073893931417,5.611307322385917,4.402820029992703,0.8507387135653603
WTI,下降,"WTI区间均价在[40,80] USD/bbl，且相邻样本国际原油均价下降",WTI均价_USD_per_bbl,汽油价格_USD_per_bbl,国内汽油 = 74.990859 + 1.302073 * WTI,66,61.05549174505026,154.4895427169248,74.99085850039631,1.302072621878005,5.471156725518993,4.400132443591112,0.8626618016331687
三油算术均价,上升,"三油算术均价区间均价在[40,80] USD/bbl，且相邻样本国际原油均价上升",三油算术均价_USD_per_bbl,汽油价格_USD_per_bbl,国内汽油 = 76.400375 + 1.269896 * 三油算术均价,85,63.448346927454025,156.97315857634172,76.40037532118336,1.2698957050415227,4.825196381632166,3.842446471860404,0.8870964478356954
三油算术均价,下降,"三油算术均价区间均价在[40,80] USD/bbl，且相邻样本国际原油均价下降",三油算术均价_USD_per_bbl,汽油价格_USD_per_bbl,国内汽油 = 72.184035 + 1.284270 * 三油算术均价,63,62.77663553158104,152.80618260396113,72.1840348170375,1.2842699693003625,4.624576715612796,3.7316313826197964,0.8999632182169526
