油价口径,筛选规则,自变量_国际原油列,因变量,回归函数,样本数,国际原油均值_USD_per_bbl,国内汽油均值_USD_per_bbl,截距_intercept,斜率_slope,线性模型RMSE_USD_per_bbl,线性模型MAE_USD_per_bbl,线性模型R2
布伦特,"布伦特区间均价在[40,80] USD/bbl",布伦特均价_USD_per_bbl,汽油价格_USD_per_bbl,国内汽油 = 74.331118 + 1.244426 * 布伦特,142,64.05317711698837,154.04058134460487,74.33111848206647,1.2444263727458045,4.708728232574048,4.001980603422677,0.8917903472606867
迪拜,"迪拜区间均价在[40,80] USD/bbl",迪拜均价_USD_per_bbl,汽油价格_USD_per_bbl,国内汽油 = 76.853545 + 1.228938 * 迪拜,147,63.09845208695099,154.39761107275177,76.85354539099957,1.228937685743778,5.563565776232862,4.518526079049399,0.8568725031275928
WTI,"WTI区间均价在[40,80] USD/bbl",WTI均价_USD_per_bbl,汽油价格_USD_per_bbl,国内汽油 = 76.492556 + 1.294403 * WTI,155,61.51199554126771,156.11383785657887,76.49255590467045,1.2944025185866614,5.619257844072158,4.489190909004361,0.8558850445881535
三油算术均价,"三油算术均价区间均价在[40,80] USD/bbl",三油算术均价_USD_per_bbl,汽油价格_USD_per_bbl,国内汽油 = 74.334499 + 1.280318 * 三油算术均价,149,63.032297824215085,155.0358947570949,74.33449948900076,1.2803181551964795,4.998956631616716,4.0926700447266615,0.8844177220747655
