油价口径,筛选规则,国际原油列,样本数,国内汽油均值_USD_per_bbl,国际原油均值_USD_per_bbl,平均国内汽油_国际原油比值,中位数国内汽油_国际原油比值,缩放系数_国际原油等于系数乘国内汽油,缩放模型RMSE_USD_per_bbl,缩放模型MAE_USD_per_bbl,缩放模型R2
布伦特,"布伦特区间均价在[40,80] USD/bbl",布伦特均价_USD_per_bbl,142,154.04058134460487,64.05317711698837,2.443171623252401,2.372770294080689,0.41839543283898656,5.581210063695571,4.726238625883097,0.7360077757966222
迪拜,"迪拜区间均价在[40,80] USD/bbl",迪拜均价_USD_per_bbl,147,154.39761107275177,63.09845208695099,2.4900926763776106,2.4275053000404254,0.4112694333799741,5.950518098658945,4.984942240434494,0.711417693064358
WTI,"WTI区间均价在[40,80] USD/bbl",WTI均价_USD_per_bbl,155,156.11383785657887,61.51199554126771,2.577445047871317,2.5638359234740644,0.3964008956433172,5.624384082908406,4.873336722513412,0.7173660470899926
三油算术均价,"三油算术均价区间均价在[40,80] USD/bbl",三油算术均价_USD_per_bbl,149,155.0358947570949,63.032297824215085,2.498516081505263,2.4434351289694094,0.40909955673196385,5.549025373311721,4.701227557929352,0.7360362411910489
三油+均价同时满足,"布伦特、迪拜、WTI、三油算术均价均在[40,80] USD/bbl",三油算术均价_USD_per_bbl,139,154.00233359892738,62.17790225166849,2.5126683497369644,2.462922787167999,0.4060259345107114,5.3019467814441805,4.504227821906313,0.7316757825761603
