日期,WTI,布伦特,迪拜,阿曼,塔皮斯,米纳斯,杜里,辛塔,大庆,胜利,欧佩克,ESPO
76.18,69.24,73.58,76.18,76.18,73.58,73.58,76.18,76.18,76.18,76.18,73.58,69.42
76.45,71.64,74.43,76.45,76.45,74.43,74.43,76.45,76.45,76.45,76.45,74.43,71.37
75.58,70.22,73.32,75.58,75.58,73.32,73.32,75.58,75.58,75.58,75.58,73.32,70.46
75.45,68.87,73.05,75.45,75.45,73.05,73.05,75.45,75.45,75.45,75.45,73.05,69.30
75.14,69.39,72.56,75.14,75.14,72.56,72.56,75.14,75.14,75.14,75.14,72.56,68.94
73.44,69.16,71.20,73.44,73.44,71.20,71.20,73.44,73.44,73.44,73.44,71.20,69.11
73.57,67.02,71.23,73.57,73.57,71.23,71.23,73.57,73.57,73.57,73.57,71.23,68.20
74.15,68.70,71.67,74.15,74.15,71.67,71.67,74.15,74.15,74.15,74.15,71.67,68.42
73.97,68.43,71.67,73.97,73.97,71.67,71.67,73.97,73.97,73.97,73.97,71.67,68.36
74.09,68.12,71.51,74.09,74.09,71.51,71.51,74.09,74.09,74.09,74.09,71.51,68.42
75.98,68.04,72.92,75.98,75.98,72.92,72.92,75.98,75.98,75.98,75.98,72.92,68.16
76.55,70.38,73.93,76.55,76.55,73.93,73.93,76.55,76.55,76.55,76.55,73.93,69.66
76.47,72.36,74.41,76.47,76.47,74.41,74.41,76.47,76.47,76.47,76.47,74.41,71.13
75.41,71.69,73.94,75.41,75.41,73.94,73.94,75.41,75.41,75.41,75.41,73.94,71.65
76.32,71.99,74.77,76.32,76.32,74.77,74.77,76.32,76.32,76.32,76.32,74.77,72.02
75.67,71.47,74.02,75.67,75.67,74.02,74.02,75.67,75.67,75.67,75.67,74.02,70.71
75.80,69.49,73.64,75.80,75.80,73.64,73.64,75.80,75.80,75.80,75.80,73.64,69.55
-,69.26,-,-,-,-,-,-,-,-,-,-,-
73.15,68.61,71.27,73.15,73.15,71.27,71.27,73.15,73.15,73.15,73.15,71.27,69.00
72.82,67.21,70.79,72.82,72.82,70.79,70.79,72.82,72.82,72.82,72.82,70.79,66.96
73.69,67.38,71.59,73.69,73.69,71.59,71.59,73.69,73.69,73.69,73.69,71.59,67.96
75.58,72.18,73.81,75.58,75.58,73.81,73.81,75.58,75.58,75.58,75.58,73.81,71.75
77.21,70.59,74.70,77.21,77.21,74.70,74.70,77.21,77.21,77.21,77.21,74.70,70.40
76.86,71.17,74.47,76.86,76.86,74.47,74.47,76.86,76.86,76.86,76.86,74.47,70.61
75.01,72.09,73.48,75.01,75.01,73.48,73.48,75.01,75.01,75.01,75.01,73.48,71.27
75.05,70.56,73.02,75.05,75.05,73.02,73.02,75.05,75.05,75.05,75.05,73.02,69.18
75.58,69.22,73.21,75.58,75.58,73.21,73.21,75.58,75.58,75.58,75.58,73.21,68.07
75.58,70.67,73.59,75.58,75.58,73.59,73.59,75.58,75.58,75.58,75.58,73.59,69.27
75.30,70.39,73.45,75.30,75.30,73.45,73.45,75.30,75.30,75.30,75.30,73.45,69.12
75.42,70.58,73.58,75.42,75.42,73.58,73.58,75.42,75.42,75.42,75.42,73.58,69.01
79.00,73.83,77.18,79.00,79.00,77.18,77.18,79.00,79.00,79.00,79.00,77.18,72.60
79.74,75.56,77.23,79.74,79.74,77.23,77.23,79.74,79.74,79.74,79.74,77.23,74.01
78.04,75.85,77.23,78.04,78.04,77.23,77.23,78.04,78.04,78.04,78.04,77.23,72.94
78.50,73.24,77.04,78.50,78.50,77.04,77.04,78.50,78.50,78.50,78.50,77.04,71.72
80.09,73.57,78.26,80.09,80.09,78.26,78.26,80.09,80.09,80.09,80.09,78.26,72.18
79.60,77.14,78.50,79.60,79.60,78.50,78.50,79.60,79.60,79.60,79.60,78.50,74.85
78.85,74.38,77.66,78.85,78.85,77.66,77.66,78.85,78.85,78.85,78.85,77.66,72.82
75.59,73.71,74.90,75.59,75.59,74.90,74.90,75.59,75.59,75.59,75.59,74.90,71.61
75.78,70.10,74.62,75.78,75.78,74.62,74.62,75.78,75.78,75.78,75.78,74.62,68.95
71.40,69.83,71.34,71.40,71.40,71.34,71.34,71.40,71.40,71.40,71.40,71.34,69.65
73.15,68.17,73.00,73.15,73.15,73.00,73.00,73.15,73.15,73.15,73.15,73.00,67.98
72.09,68.18,72.25,72.09,72.09,72.25,72.25,72.09,72.09,72.09,72.09,72.25,66.56
72.34,67.67,-,72.34,72.34,-,-,72.34,72.34,72.34,72.34,-,66.64
75.25,70.44,72.04,75.25,75.25,72.04,72.04,75.25,75.25,75.25,75.25,72.04,68.88
75.22,72.31,75.12,75.22,75.22,75.12,75.12,75.22,75.22,75.22,75.22,75.12,68.95
74.66,71.17,74.44,74.66,74.66,74.44,74.44,74.66,74.66,74.66,74.66,74.44,68.01
74.49,71.92,74.74,74.49,74.49,74.74,74.74,74.49,74.49,74.49,74.49,74.74,68.40
74.56,71.95,75.15,74.56,74.56,75.15,75.15,74.56,74.56,74.56,74.56,75.15,68.84
73.18,70.91,73.65,73.18,73.18,73.65,73.65,73.18,73.18,73.18,73.18,73.65,67.60
73.15,71.19,73.57,73.15,73.15,73.57,73.57,73.15,73.15,73.15,73.15,73.57,67.59
72.43,70.09,72.77,72.43,72.43,72.77,72.77,72.43,72.43,72.43,72.43,72.77,66.71
72.78,68.65,72.42,72.78,72.78,72.42,72.42,72.78,72.78,72.78,72.78,72.42,66.50
71.88,68.97,72.42,71.88,71.88,72.42,72.42,71.88,71.88,71.88,71.88,72.42,66.88
71.00,67.31,70.84,71.00,71.00,70.84,70.84,71.00,71.00,71.00,71.00,70.84,63.86
71.94,65.75,71.41,71.94,71.94,71.41,71.41,71.94,71.94,71.94,71.94,71.41,63.82
72.56,68.71,72.23,72.56,72.56,72.23,72.23,72.56,72.56,72.56,72.56,72.23,65.43
73.84,67.67,73.19,73.84,73.84,73.19,73.19,73.84,73.84,73.84,73.84,73.19,65.86
73.88,69.15,73.68,73.88,73.88,73.68,73.68,73.88,73.88,73.88,73.88,73.68,67.27
84.72,80.13,-,84.72,84.72,-,-,84.72,84.72,84.72,84.72,-,78.08
84.81,82.82,85.43,84.81,84.81,85.43,85.43,84.81,84.81,84.81,84.81,85.43,78.98
83.72,82.85,84.56,83.72,83.72,84.56,84.56,83.72,83.72,83.72,83.72,84.56,78.83
83.99,80.76,84.44,83.99,83.99,84.44,84.44,83.99,83.99,83.99,83.99,84.44,78.35
84.84,81.91,85.31,84.84,84.84,85.31,85.31,84.84,84.84,84.84,84.84,85.31,79.09
85.57,82.21,86.27,85.57,85.57,86.27,86.27,85.57,85.57,85.57,85.57,86.27,79.77
85.29,82.62,86.11,85.29,85.29,86.11,86.11,85.29,85.29,85.29,85.29,86.11,79.71
84.37,82.10,85.40,84.37,84.37,85.40,85.40,84.37,84.37,84.37,84.37,85.40,79.81
85.46,81.41,85.91,85.46,85.46,85.91,85.91,85.46,85.46,85.46,85.46,85.91,79.57
86.12,82.33,86.81,86.12,86.12,86.81,86.81,86.12,86.12,86.12,86.12,86.81,80.76
87.32,-,88.15,87.32,87.32,88.15,88.15,87.32,87.32,87.32,87.32,88.15,82.33
86.60,-,87.51,86.60,86.60,87.51,87.51,86.60,86.60,86.60,86.60,87.51,82.04
86.48,83.88,87.06,86.48,86.48,87.06,87.06,86.48,86.48,86.48,86.48,87.06,81.01
86.74,82.81,87.43,86.74,86.74,87.43,87.43,86.74,86.74,86.74,86.74,87.43,81.43
85.59,83.38,83.51,85.59,85.59,83.51,83.51,85.59,85.59,85.59,85.59,83.51,80.58
86.63,81.54,86.59,86.63,86.63,86.59,86.59,86.63,86.63,86.63,86.63,86.59,79.86
85.49,81.74,86.05,85.49,85.49,86.05,86.05,85.49,85.49,85.49,85.49,86.05,80.45
85.16,80.90,85.46,85.16,85.16,85.46,85.46,85.16,85.16,85.16,85.16,85.46,79.15
85.66,81.98,85.98,85.66,85.66,85.98,85.98,85.66,85.66,85.66,85.66,85.98,80.14
85.08,82.78,85.98,85.08,85.08,85.98,85.98,85.08,85.08,85.08,85.08,85.98,80.26
85.05,81.88,86.00,85.05,85.05,86.00,86.00,85.05,85.05,85.05,85.05,86.00,80.31
84.93,82.17,85.68,84.93,84.93,85.68,85.68,84.93,84.93,84.93,84.93,85.68,80.07
84.89,-,85.54,84.89,84.89,85.54,85.54,84.89,84.89,84.89,84.89,85.54,79.96
83.63,81.57,84.50,83.63,83.63,84.50,84.50,83.63,83.63,83.63,83.63,84.50,79.59
82.23,80.33,83.06,82.23,82.23,83.06,83.06,82.23,82.23,82.23,82.23,83.06,78.48
82.23,78.45,82.81,82.23,82.23,82.81,82.81,82.23,82.23,82.23,82.23,82.81,77.84
82.47,78.62,82.81,82.47,82.47,82.81,82.81,82.47,82.47,82.47,82.47,82.81,77.82
82.61,78.50,83.10,82.61,82.61,83.10,83.10,82.61,82.61,82.61,82.61,83.10,77.51
81.70,77.90,82.36,81.70,81.70,82.36,82.36,81.70,81.70,81.70,81.70,82.36,77.16
80.02,77.74,80.93,80.02,80.02,80.93,80.93,80.02,80.02,80.02,80.02,80.93,76.67
79.98,75.53,80.37,79.98,79.98,80.37,80.37,79.98,79.98,79.98,79.98,80.37,75.23
79.10,75.55,79.81,79.10,79.10,79.81,79.81,79.10,79.10,79.10,79.10,79.81,75.19
78.09,74.07,78.39,78.09,78.09,78.39,78.39,78.09,78.09,78.09,78.09,78.39,73.10
78.07,73.25,78.17,78.07,78.07,78.17,78.17,78.07,78.07,78.07,78.07,78.17,73.37
81.92,74.22,81.30,81.92,81.92,81.30,81.30,81.92,81.92,81.92,81.92,81.30,74.21
82.65,76.99,81.93,82.65,82.65,81.93,81.93,82.65,82.65,82.65,82.65,81.93,77.40
84.31,77.91,83.08,84.31,84.31,83.08,83.08,84.31,84.31,84.31,84.31,83.08,78.21
85.63,79.23,84.00,85.63,85.63,84.00,84.00,85.63,85.63,85.63,85.63,84.00,78.93
84.28,79.83,84.00,84.28,84.28,84.00,84.00,84.28,84.28,84.28,84.28,84.00,79.09
83.15,-,82.53,83.15,83.15,82.53,82.53,83.15,83.15,83.15,83.15,82.53,-
82.18,78.47,81.92,82.18,82.18,81.92,81.92,82.18,82.18,82.18,82.18,81.92,77.00
82.94,77.62,-,82.94,82.94,-,-,82.94,82.94,82.94,82.94,-,77.25
-,78.12,83.27,-,-,83.27,83.27,-,-,-,-,83.27,77.70
84.16,79.26,83.58,84.16,84.16,83.58,83.58,84.16,84.16,84.16,84.16,83.58,78.65
85.27,79.80,84.51,85.27,85.27,84.51,84.51,85.27,85.27,85.27,85.27,84.51,79.43
84.67,80.06,83.30,84.67,84.67,83.30,83.30,84.67,84.67,84.67,84.67,83.30,79.12
84.00,79.23,83.30,84.00,84.00,83.30,83.30,84.00,84.00,84.00,84.00,83.30,78.31
83.94,78.63,82.95,83.94,83.94,82.95,82.95,83.94,83.94,83.94,83.94,82.95,77.74
84.33,78.02,83.08,84.33,84.33,83.08,83.08,84.33,84.33,84.33,84.33,83.08,77.54
84.28,79.12,83.43,84.28,84.28,83.43,83.43,84.28,84.28,84.28,84.28,83.43,78.50
85.30,78.26,84.29,85.30,85.30,84.29,84.29,85.30,85.30,85.30,85.30,84.29,78.90
85.08,79.26,83.60,85.08,85.08,83.60,83.60,85.08,85.08,85.08,85.08,83.60,78.94
83.55,78.99,83.60,83.55,83.55,83.60,83.60,83.55,83.55,83.55,83.55,83.60,78.75
84.86,78.38,83.60,84.86,84.86,83.60,83.60,84.86,84.86,84.86,84.86,83.60,78.48
84.87,78.48,83.74,84.87,84.87,83.74,83.74,84.87,84.87,84.87,84.87,83.74,-
85.08,78.11,83.79,85.08,85.08,83.79,83.79,85.08,85.08,85.08,85.08,83.79,78.36
85.32,78.95,84.23,85.32,85.32,84.23,84.23,85.32,85.32,85.32,85.32,84.23,78.58
-,79.00,87.17,-,-,87.17,87.17,-,-,-,-,87.17,78.97
89.29,81.93,88.72,89.29,89.29,88.72,88.72,89.29,89.29,89.29,89.29,88.72,82.03
89.71,82.63,88.72,89.71,89.71,88.72,88.72,89.71,89.71,89.71,89.71,88.72,82.56
89.86,83.85,89.19,89.86,89.86,89.19,89.19,89.86,89.86,89.86,89.86,89.19,83.49
89.29,85.12,88.39,89.29,89.29,88.39,88.39,89.29,89.29,89.29,89.29,88.39,81.99
89.41,84.21,88.45,89.41,89.41,88.45,88.45,89.41,89.41,89.41,89.41,88.45,82.95
89.20,84.66,88.17,89.20,89.20,88.17,88.17,89.20,89.20,89.20,89.20,88.17,82.53
87.36,82.85,86.51,87.36,87.36,86.51,86.51,87.36,87.36,87.36,87.36,86.51,81.86
88.67,83.14,87.52,88.67,88.67,87.52,87.52,88.67,88.67,88.67,88.67,87.52,82.59
88.52,82.73,87.35,88.52,88.52,87.35,87.35,88.52,88.52,88.52,88.52,87.35,82.50
91.11,82.69,89.64,91.11,91.11,89.64,89.64,91.11,91.11,91.11,91.11,89.64,84.17
91.47,85.36,90.18,91.47,91.47,90.18,90.18,91.47,91.47,91.47,91.47,90.18,85.32
90.88,85.41,89.57,90.88,90.88,89.57,89.57,90.88,90.88,90.88,90.88,89.57,84.50
91.67,85.66,90.77,91.67,91.67,90.77,90.77,91.67,91.67,91.67,91.67,90.77,86.37
91.82,85.02,90.62,91.82,91.82,90.62,90.62,91.82,91.82,91.82,91.82,90.62,85.06
-,86.21,90.39,-,-,90.39,90.39,-,-,-,-,90.39,84.51
91.99,85.23,90.29,91.99,91.99,90.29,90.29,91.99,91.99,91.99,91.99,90.29,84.80
91.50,86.43,90.29,91.50,91.50,90.29,90.29,91.50,91.50,91.50,91.50,90.29,84.77
91.85,86.91,91.12,91.85,91.85,91.12,91.12,91.85,91.85,91.85,91.85,91.12,86.21
90.63,86.59,89.58,90.63,90.63,89.58,89.58,90.63,90.63,90.63,90.63,89.58,84.53
90.33,85.43,89.58,90.33,90.33,89.58,89.58,90.33,90.33,90.33,90.33,89.58,84.98
89.60,85.15,88.97,89.60,89.60,88.97,88.97,89.60,89.60,89.60,89.60,88.97,84.26
88.81,83.71,87.33,88.81,88.81,87.33,87.33,88.81,88.81,88.81,88.81,87.33,-
87.99,83.17,84.98,87.99,87.99,84.98,84.98,87.99,87.99,87.99,87.99,84.98,82.78
87.36,81.35,84.98,87.36,87.36,84.98,84.98,87.36,87.36,87.36,87.36,84.98,81.66
88.38,81.62,85.92,88.38,88.38,85.92,85.92,88.38,88.38,88.38,88.38,85.92,82.33
87.42,82.85,-,87.42,87.42,-,-,87.42,87.42,87.42,87.42,-,82.46
87.28,81.08,84.88,87.28,87.28,84.88,84.88,87.28,87.28,87.28,87.28,84.88,81.29
87.99,81.48,85.56,87.99,87.99,85.56,85.56,87.99,87.99,87.99,87.99,85.56,81.35
88.43,81.68,86.03,88.43,88.43,86.03,86.03,88.43,88.43,88.43,88.43,86.03,81.91
88.42,83.47,86.52,88.42,88.42,86.52,86.52,88.42,88.42,88.42,88.42,86.52,83.09
87.77,82.72,85.71,87.77,87.77,85.71,85.71,87.77,87.77,87.77,87.77,85.71,82.34
86.85,81.04,84.74,86.85,86.85,84.74,84.74,86.85,86.85,86.85,86.85,84.74,81.35
85.96,81.26,-,85.96,85.96,-,-,85.96,85.96,85.96,85.96,-,81.13
84.08,79.72,82.67,84.08,84.08,82.67,82.67,84.08,84.08,84.08,84.08,82.67,79.90
84.65,77.56,82.61,84.65,84.65,82.61,82.61,84.65,84.65,84.65,84.65,82.61,78.89
84.09,77.93,82.26,84.09,84.09,82.26,82.26,84.09,84.09,84.09,84.09,82.26,78.71
85.31,78.01,83.08,85.31,85.31,83.08,83.08,85.31,85.31,85.31,85.31,83.08,77.89
84.55,78.93,82.71,84.55,84.55,82.71,82.71,84.55,84.55,84.55,84.55,82.71,78.29
84.14,79.13,82.31,84.14,84.14,82.31,82.31,84.14,84.14,84.14,84.14,82.31,79.06
84.42,78.15,82.31,84.42,84.42,82.31,82.31,84.42,84.42,84.42,84.42,82.31,77.99
85.48,78.74,82.65,85.48,85.48,82.65,82.65,85.48,85.48,85.48,85.48,82.65,78.07
83.76,79.97,82.65,83.76,83.76,82.65,82.65,83.76,83.76,83.76,83.76,82.65,78.88
84.08,78.26,82.01,84.08,84.08,82.01,82.01,84.08,84.08,84.08,84.08,82.01,78.47
