调整日期,上次调整日期,周期天数,推断调价窗口数,标准窗口天数,推断类型,汽油,汽油涨跌,汽油价格_CNY_per_ton,国内调价幅度_CNY_per_ton,汇率日期,USD_CNY,汇率间隔天数,p_i_prime_国内汽油价格_USD_per_bbl,p_prev_prime_上一国内汽油价格_USD_per_bbl,delta_p_i_prime_国内调价幅度_USD_per_bbl,delta_p_i_prime_价格差_USD_per_bbl,布伦特均价_USD_per_bbl,布伦特样本天数,迪拜均价_USD_per_bbl,迪拜样本天数,米纳斯均价_USD_per_bbl,米纳斯样本天数,米纳斯来源集合,p_i_布伦特迪拜米纳斯433均价_USD_per_bbl,p_prev_上一窗口433均价_USD_per_bbl,delta_p_i_国际433价格变动_USD_per_bbl,433样本天数,线性拟合_delta_p_i_prime_USD_per_bbl,残差_epsilon_USD_per_bbl,残差绝对值_USD_per_bbl,残差平方
2024-10-11,2024-09-21,20.0,1,14,单窗口但偏离较大,8555,↑140,8555.0,140.0,2024-10-11,7.0668,0,165.1555752004782,162.8099539239124,2.702721277389474,2.345621276565822,76.42933333333333,15,75.23466666666667,15,77.41,11,商务部,76.33572727272727,75.4159,0.9198272727272752,11,1.356503726440391,1.346217550949083,1.346217550949083,1.812301694483347
2024-02-01,2024-01-18,14.0,1,14,标准单窗口,8980,↑200,8980.0,200.0,2024-02-01,7.1802,0,170.6223112498282,166.44903486953723,3.8000514754972867,4.173276380290957,82.55800000000002,10,78.53099999999999,10,76.98,10,商务部,79.6765,79.07911111111112,0.5973888888888865,10,0.9200309755036405,2.880020499993646,2.880020499993646,8.294518080383652
2024-01-18,2024-01-04,14.0,1,14,标准单窗口,8780,↓50,8780.0,-50.0,2024-01-18,7.1963,0,166.44903486953723,168.25734646731507,-0.9478874423094374,-1.8083115977778448,79.014,10,77.48888888888888,9,81.061,10,商务部,79.07911111111112,79.40700000000001,-0.3278888888888929,9,-0.3324828605963786,-0.6154045817130589,0.6154045817130589,0.378722799193425
2024-01-04,2023-12-20,15.0,1,14,标准单窗口,8830,↑200,8830.0,200.0,2024-01-04,7.1595,0,168.25734646731507,164.98092042492277,3.8110384250807487,3.276426042392302,78.48375000000001,8,77.27444444444444,9,82.80999999999999,11,商务部,79.40700000000001,78.4263,0.980700000000013,8,1.4389048550326722,2.3721335700480766,2.3721335700480766,5.627017674149033
2023-07-27,2023-07-13,14.0,1,14,标准单窗口,9055,↑275,9055.0,275.0,2023-07-27,7.1742,0,172.19121892861273,167.50345261245292,5.229440663210216,4.687766316159809,81.05499999999999,10,79.758,10,73.26,10,商务部,78.32740000000001,76.32033333333334,2.007066666666674,10,2.8282589298698526,2.4011817333403633,2.4011817333403633,5.765673716527432
2023-07-13,2023-06-29,14.0,1,14,标准单窗口,8780,↑155,8780.0,155.0,2023-07-13,7.151,0,167.50345261245292,162.24353177363216,2.9570655073952397,5.2599208388207614,77.652,10,77.38555555555556,9,73.272,10,商务部,76.32033333333334,74.3304,1.9899333333333402,9,2.8050661789209936,0.15199932847424602,0.15199932847424602,0.02310379585662174
2023-06-29,2023-06-14,15.0,1,14,标准单窗口,8625,↑70,8625.0,70.0,2023-06-29,7.2525,0,162.24353177363216,162.91931919187294,1.316759098452667,-0.6757874182407875,74.7309090909091,11,75.00800000000001,10,73.29999999999998,11,商务部,74.3304,75.5223,-1.191900000000004,10,-1.5020623071166237,2.818821405569291,2.818821405569291,7.945754116495633
2023-06-14,2023-05-31,14.0,1,14,标准单窗口,8555,↓55,8555.0,-55.0,2023-06-14,7.1638,0,162.91931919187294,165.16793867400762,-1.0474064939278798,-2.2486194821346714,74.991,10,74.29299999999998,10,77.46,10,商务部,75.5223,77.14644444444444,-1.6241444444444397,10,-2.087175405308901,1.0397689113810211,1.0397689113810211,1.0811193890744737
2023-05-31,2023-05-17,14.0,1,14,标准单窗口,8610,↑100,8610.0,100.0,2023-05-31,7.1117,0,165.16793867400762,165.8877867953244,1.9183268138676843,-0.7198481213167724,75.43777777777778,9,74.9511111111111,9,81.62,10,商务部,77.14644444444444,76.73245454545453,0.4139898989899109,9,0.671770639102907,1.2465561747647773,1.2465561747647773,1.553902296844194
2022-01-01,2021-12-18,14.0,1,14,标准单窗口,8130,↑140,8130.0,140.0,2021-12-31,6.3561,1,174.5001680932431,170.9653577110961,3.0049229437950844,3.5348103821470147,75.50375,8,72.85888888888888,9,80.14,10,商务部,76.08871428571429,75.61959999999999,0.4691142857142978,7,0.7463904546188967,2.2585324891761878,2.2585324891761878,5.100969004664386
2021-12-18,2021-12-04,14.0,1,14,标准单窗口,7990,↓130,7990.0,-130.0,2021-12-17,6.3758,1,170.9653577110961,173.73067278358386,-2.7816641429840416,-2.765315072487766,74.275,10,72.755,10,80.277,10,商务部,75.61959999999999,77.3781111111111,-1.7585111111111047,10,-2.2690625241315643,-0.5126016188524773,0.5126016188524773,0.26276041965018043
2021-12-04,2021-11-20,14.0,1,14,标准单窗口,8120,↓430,8120.0,-430.0,2021-12-03,6.3764,1,173.73067278358386,182.62138191799696,-9.200023312431165,-8.8907091344131,75.619,10,76.54444444444444,9,81.51,10,商务部,77.3781111111111,79.94030000000001,-2.5621888888889117,9,-3.3569709994117036,-5.843052313019461,5.843052313019461,34.14126033268207
2021-11-20,2021-10-23,28.0,2,14,疑似跨多窗口,8550,↓95,8550.0,-95.0,2021-11-19,6.3872,1,182.62138191799696,184.71413111177822,-2.029126465755522,-2.092749193781259,82.9145,20,81.35749999999999,20,74.5575,20,商务部,79.94030000000001,79.6731,0.26720000000000255,20,0.47306665647171436,-2.5021931222272364,2.5021931222272364,6.260970420921286
2021-10-23,2021-10-10,13.0,1,14,标准单窗口,8645,↑300,8645.0,300.0,2021-10-22,6.385,1,184.71413111177822,176.67712106864823,6.409975631409307,8.037010043129982,84.426,10,81.195,10,71.814,10,商务部,79.6731,74.2946,5.3785000000000025,10,7.392041827185872,-0.9820661957765644,0.9820661957765644,0.9644540128870533
2021-10-10,2021-09-19,21.0,2,14,多窗口但偏离较大,8345,↑345,8345.0,345.0,2021-10-08,6.4438,2,176.67712106864823,168.786177998612,7.304206922550466,7.890943070036229,78.592,15,74.87933333333334,15,67.98,15,商务部,74.2946,71.07287500000001,3.221724999999992,15,4.472496374205789,2.8317105483446774,2.8317105483446774,8.018584629606513
2021-09-19,2021-09-07,12.0,1,14,标准单窗口,8000,↑90,8000.0,90.0,2021-09-17,6.4662,2,168.786177998612,166.87701046185944,1.898844502484385,1.9091675367525625,73.345,8,71.13624999999999,8,67.98,8,商务部,71.07287500000001,71.328625,-0.25574999999999193,8,-0.23483115142939304,2.133675653913778,2.133675653913778,4.552571796104388
2021-09-07,2021-08-24,14.0,1,14,标准单窗口,7910,↑140,7910.0,140.0,2021-09-07,6.4666,0,166.87701046185944,163.80184892443742,2.953575406404592,3.0751615374220194,72.31333333333333,9,69.8411111111111,9,71.242,10,商务部,71.328625,70.641375,0.6872500000000059,8,1.041672592429006,1.911902813975586,1.911902813975586,3.6553723700877643
2021-06-12,2021-05-15,28.0,2,14,疑似跨多窗口,7825,↑175,7825.0,175.0,2021-06-11,6.3987,1,166.83555968724977,162.13142678643877,3.731146702270761,4.704132900811004,69.60263157894737,19,67.95526315789472,19,66.47000000000001,15,商务部,67.64871428571429,67.20810000000002,0.4406142857142754,14,0.7078110731766983,3.0233356290940625,3.0233356290940625,9.140558326149591
2021-05-15,2021-04-29,16.0,1,14,标准单窗口,7650,↑100,7650.0,100.0,2021-05-14,6.4371,1,162.13142678643877,159.1442851835237,2.1193650560318793,2.9871416029150737,68.736,10,65.82909090909091,11,66.47000000000001,11,商务部,67.20810000000002,63.71672222222222,3.4913777777777995,10,4.837515229322638,-2.7181501732907587,2.7181501732907587,7.388340364560581
2021-04-29,2021-04-01,28.0,2,14,疑似跨多窗口,7550,↑100,7550.0,100.0,2021-04-29,6.4722,0,159.1442851835237,154.80954073121097,2.107871326934089,4.334744452312719,64.69722222222222,18,62.35526315789474,19,63.524,20,商务部,63.71672222222222,63.1213,0.5954222222222185,18,0.9173687725737113,1.1905025543603776,1.1905025543603776,1.4172963319385836
2021-04-01,2021-03-18,14.0,1,14,标准单窗口,7450,↓225,7450.0,-225.0,2021-04-01,6.5653,0,154.80954073121097,160.93122797404527,-4.675455928123822,-6.121687242834298,63.124,10,64.249,10,61.989999999999995,10,商务部,63.1213,66.93430000000001,-3.8130000000000095,10,-5.050147103540022,0.3746911754162001,0.3746911754162001,0.14039347693477364
2021-03-18,2021-03-04,14.0,1,14,标准单窗口,7675,↑235,7675.0,235.0,2021-03-18,6.5063,0,160.93122797404527,156.8789522847606,4.927535970540799,4.05227568928467,67.72900000000001,10,65.889,10,66.91999999999999,10,商务部,66.93430000000001,63.667555555555545,3.2667444444444627,10,4.533437508224656,0.3940984623161423,0.3940984623161423,0.15531359799994784
2021-03-04,2021-02-19,13.0,1,14,标准单窗口,7440,↑260,7440.0,260.0,2021-03-04,6.47,0,156.8789522847606,151.68498889646867,5.482328977693247,5.193963388291934,65.44888888888889,9,61.63444444444443,9,63.32555555555555,9,商务部,63.667555555555545,59.81335714285715,3.854198412698395,9,5.328651919487243,0.15367705820600452,0.15367705820600452,0.023616638218851703
2021-02-19,2021-01-30,20.0,1,14,单窗口但偏离较大,7180,↑275,7180.0,275.0,2021-02-19,6.4577,0,151.68498889646867,146.55617088394342,5.809661830992881,5.128818012525244,61.082666666666675,15,59.08428571428573,14,59.26133333333333,15,商务部,59.81335714285715,54.87011111111111,4.9432460317460425,14,6.802854849449492,-0.9931930184566111,0.9931930184566111,0.9864323719109542
