"数据年月","商品编码","商品名称","第一数量","第一计量单位","第二数量","第二计量单位","美元",
"201901","27090000","石油原油及从沥青矿物提取的原油","42587337023","千克","0","?","19,158,902,204",
"201902","27090000","石油原油及从沥青矿物提取的原油","39242395592","千克","0","?","17,697,573,025",
"201903","27090000","石油原油及从沥青矿物提取的原油","39330259524","千克","0","?","18,952,597,122",
"201904","27090000","石油原油及从沥青矿物提取的原油","43722131489","千克","0","?","21,863,663,126",
"201905","27090000","石油原油及从沥青矿物提取的原油","40129505472","千克","0","?","21,074,718,503",
"201906","27090000","石油原油及从沥青矿物提取的原油","39565535530","千克","0","?","20,390,851,340",
"201907","27090000","石油原油及从沥青矿物提取的原油","41020018495","千克","0","?","19,747,332,200",
"201908","27090000","石油原油及从沥青矿物提取的原油","42158225297","千克","0","?","19,952,088,731",
"201909","27090000","石油原油及从沥青矿物提取的原油","41233490796","千克","0","?","18,812,852,618",
"201910","27090000","石油原油及从沥青矿物提取的原油","45487796755","千克","0","?","21,130,516,424",
"201911","27090000","石油原油及从沥青矿物提取的原油","45722651146","千克","0","?","21,426,539,967",
"201912","27090000","石油原油及从沥青矿物提取的原油","45476690629","千克","0","?","22,177,227,505",
