"数据年月","商品编码","商品名称","第一数量","第一计量单位","第二数量","第二计量单位","美元",
"202501","27090000","石油原油及从沥青矿物提取的原油","41064542863","千克","296718633","桶","22,567,551,833",
"202502","27090000","石油原油及从沥青矿物提取的原油","42660580684","千克","308160344","桶","24,176,979,980",
"202503","27090000","石油原油及从沥青矿物提取的原油","51126918527","千克","369612648","桶","28,330,736,446",
"202504","27090000","石油原油及从沥青矿物提取的原油","48042002847","千克","347804688","桶","25,398,100,837",
"202505","27090000","石油原油及从沥青矿物提取的原油","46571654246","千克","336315152","桶","23,322,824,834",
"202506","27090000","石油原油及从沥青矿物提取的原油","49878192003","千克","360439012","桶","24,532,220,442",
"202507","27090000","石油原油及从沥青矿物提取的原油","47190247145","千克","340851903","桶","24,021,092,015",
"202508","27090000","石油原油及从沥青矿物提取的原油","49186223325","千克","354362258","桶","25,022,422,263",
"202509","27090000","石油原油及从沥青矿物提取的原油","46901625151","千克","337833546","桶","23,781,052,970",
"202510","27090000","石油原油及从沥青矿物提取的原油","48336093686","千克","349072667","桶","24,307,753,967",
"202511","27090000","石油原油及从沥青矿物提取的原油","50779658305","千克","365514243","桶","24,484,797,770",
"202512","27090000","石油原油及从沥青矿物提取的原油","55963973427","千克","404682928","桶","26,670,190,841",
