"数据年月","商品编码","商品名称","第一数量","第一计量单位","第二数量","第二计量单位","美元",
"202101","27090000","石油原油及从沥青矿物提取的原油","44569071563","千克","0","?","16,909,177,521",
"202102","27090000","石油原油及从沥青矿物提取的原油","44973616163","千克","0","?","18,567,880,781",
"202103","27090000","石油原油及从沥青矿物提取的原油","49640304528","千克","0","?","22,813,957,123",
"202104","27090000","石油原油及从沥青矿物提取的原油","40349307675","千克","0","?","19,287,830,316",
"202105","27090000","石油原油及从沥青矿物提取的原油","40961148896","千克","0","?","19,874,494,530",
"202106","27090000","石油原油及从沥青矿物提取的原油","40051737376","千克","0","?","20,111,256,654",
"202107","27090000","石油原油及从沥青矿物提取的原油","41242195191","千克","0","?","21,947,063,131",
"202108","27090000","石油原油及从沥青矿物提取的原油","44523684546","千克","0","?","24,039,487,303",
"202109","27090000","石油原油及从沥青矿物提取的原油","40906436928","千克","0","?","21,824,921,027",
"202110","27090000","石油原油及从沥青矿物提取的原油","37792001036","千克","0","?","21,120,878,291",
"202111","27090000","石油原油及从沥青矿物提取的原油","41790781048","千克","0","?","24,915,349,656",
"202112","27090000","石油原油及从沥青矿物提取的原油","46121857560","千克","0","?","27,110,589,952",
