"数据年月","商品编码","商品名称","第一数量","第一计量单位","第二数量","第二计量单位","美元",
"202401","27090000","石油原油及从沥青矿物提取的原油","44166290031","千克","318381405","桶","25,878,542,731",
"202402","27090000","石油原油及从沥青矿物提取的原油","44137624714","千克","320042611","桶","26,076,637,165",
"202403","27090000","石油原油及从沥青矿物提取的原油","49038217733","千克","356374164","桶","29,650,293,736",
"202404","27090000","石油原油及从沥青矿物提取的原油","44712414299","千克","324327093","桶","28,026,700,613",
"202405","27090000","石油原油及从沥青矿物提取的原油","46959871949","千克","340618333","桶","29,745,396,267",
"202406","27090000","石油原油及从沥青矿物提取的原油","46448308177","千克","336550190","桶","28,468,749,575",
"202407","27090000","石油原油及从沥青矿物提取的原油","42327615904","千克","306855618","桶","25,768,091,102",
"202408","27090000","石油原油及从沥青矿物提取的原油","49089290800","千克","354950855","桶","29,370,228,228",
"202409","27090000","石油原油及从沥青矿物提取的原油","45479193521","千克","329618385","桶","25,762,011,641",
"202410","27090000","石油原油及从沥青矿物提取的原油","44686281948","千克","323143156","桶","24,347,772,486",
"202411","27090000","石油原油及从沥青矿物提取的原油","48504273602","千克","350880116","桶","26,405,716,394",
"202412","27090000","石油原油及从沥青矿物提取的原油","47682537757","千克","344477413","桶","25,686,532,260",
