"数据年月","商品编码","商品名称","第一数量","第一计量单位","第二数量","第二计量单位","美元",
"201801","27090000","石油原油及从沥青矿物提取的原油","40535091645","千克","0","?","19,141,183,343",
"201802","27090000","石油原油及从沥青矿物提取的原油","32254474571","千克","0","?","16,004,759,564",
"201803","27090000","石油原油及从沥青矿物提取的原油","39165875008","千克","0","?","18,891,610,791",
"201804","27090000","石油原油及从沥青矿物提取的原油","39459004639","千克","0","?","19,321,308,006",
"201805","27090000","石油原油及从沥青矿物提取的原油","39038337009","千克","0","?","20,329,229,459",
"201806","27090000","石油原油及从沥青矿物提取的原油","34341383973","千克","0","?","18,763,903,135",
"201807","27090000","石油原油及从沥青矿物提取的原油","36024610050","千克","0","?","19,471,160,784",
"201808","27090000","石油原油及从沥青矿物提取的原油","38338325147","千克","0","?","20,736,930,743",
"201809","27090000","石油原油及从沥青矿物提取的原油","37212434610","千克","0","?","20,240,061,161",
"201810","27090000","石油原油及从沥青矿物提取的原油","38872534729","千克","0","?","22,108,407,990",
"201811","27090000","石油原油及从沥青矿物提取的原油","42865878728","千克","0","?","24,038,561,450",
"201812","27090000","石油原油及从沥青矿物提取的原油","43777512730","千克","0","?","21,333,144,889",
