"数据年月","商品编码","商品名称","第一数量","第一计量单位","第二数量","第二计量单位","美元",
"202001","27090000","石油原油及从沥青矿物提取的原油","46096743303","千克","0","?","22,915,460,915",
"202002","27090000","石油原油及从沥青矿物提取的原油","39981784459","千克","0","?","19,350,211,079",
"202003","27090000","石油原油及从沥青矿物提取的原油","41092518287","千克","0","?","16,671,193,542",
"202004","27090000","石油原油及从沥青矿物提取的原油","40415327222","千克","0","?","10,857,410,620",
"202005","27090000","石油原油及从沥青矿物提取的原油","47962846592","千克","0","?","9,727,304,837",
"202006","27090000","石油原油及从沥青矿物提取的原油","53171547781","千克","0","?","12,554,432,927",
"202007","27090000","石油原油及从沥青矿物提取的原油","51039275614","千克","0","?","14,524,876,107",
"202008","27090000","石油原油及从沥青矿物提取的原油","47474388306","千克","0","?","15,167,885,503",
"202009","27090000","石油原油及从沥青矿物提取的原油","48469456842","千克","0","?","16,120,849,353",
"202010","27090000","石油原油及从沥青矿物提取的原油","42471553516","千克","0","?","13,522,613,445",
"202011","27090000","石油原油及从沥青矿物提取的原油","45404245057","千克","0","?","14,199,512,630",
"202012","27090000","石油原油及从沥青矿物提取的原油","38427007319","千克","0","?","12,841,103,901",
