"数据年月","商品编码","商品名称","第一数量","第一计量单位","第二数量","第二计量单位","美元",
"202201","27090000","石油原油及从沥青矿物提取的原油","48789896647","千克","0","?","28,773,653,038",
"202202","27090000","石油原油及从沥青矿物提取的原油","36339514118","千克","0","?","23,522,839,714",
"202203","27090000","石油原油及从沥青矿物提取的原油","42710930247","千克","0","?","31,326,294,312",
"202204","27090000","石油原油及从沥青矿物提取的原油","43020368833","千克","0","?","34,775,806,084",
"202205","27090000","石油原油及从沥青矿物提取的原油","45809613238","千克","0","?","35,942,599,403",
"202206","27090000","石油原油及从沥青矿物提取的原油","35801260643","千克","0","?","28,982,753,491",
"202207","27090000","石油原油及从沥青矿物提取的原油","37318463206","千克","0","?","30,268,816,257",
"202208","27090000","石油原油及从沥青矿物提取的原油","40335895740","千克","0","?","30,757,000,376",
"202209","27090000","石油原油及从沥青矿物提取的原油","40233599136","千克","0","?","28,980,777,984",
"202210","27090000","石油原油及从沥青矿物提取的原油","43119759464","千克","0","?","30,071,373,859",
"202211","27090000","石油原油及从沥青矿物提取的原油","46691449945","千克","0","?","31,530,346,343",
"202212","27090000","石油原油及从沥青矿物提取的原油","48060205441","千克","0","?","30,820,494,556",
