油价口径,价格方向,筛选规则,自变量_国际原油列,因变量,回归函数,样本数,国际原油均值_USD_per_bbl,国内汽油均值_USD_per_bbl,截距_intercept,斜率_slope,线性模型RMSE_USD_per_bbl,线性模型MAE_USD_per_bbl,线性模型R2
布伦特,上升,"布伦特区间均价在[40,80] USD/bbl，且相邻样本国际原油均价上升",布伦特均价_USD_per_bbl,汽油价格_USD_per_bbl,国内汽油 = 75.725680 + 1.237125 * 布伦特,81,64.25227642437325,155.21379387511195,75.72567975015885,1.2371252591884874,4.526748065905789,3.700369684172364,0.8895527506724514
布伦特,下降,"布伦特区间均价在[40,80] USD/bbl，且相邻样本国际原油均价下降",布伦特均价_USD_per_bbl,汽油价格_USD_per_bbl,国内汽油 = 72.467894 + 1.253757 * 布伦特,60,64.1077490342716,152.8434151880213,72.46789423076274,1.2537567169031363,4.692574575869803,4.007608550816364,0.9008986648694227
